// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
23082	599944	-0.053962	-0.047367	9.808504	-0.005841	-0.003339	0.004193									
23083	599969	-0.071936	-0.058351	9.798532	-0.004032	-0.000489	-0.002965									
23084	599994	-0.082140	-0.041926	9.801465	-0.006031	-0.000012	-0.004235									
23085	600019	-0.069918	-0.055176	9.780312	-0.005361	-0.000902	-0.002962	-0.273662	0.412712	-30.909204						
23086	600044	-0.089142	-0.049822	9.786164	-0.004035	0.001371	-0.006279									
23087	600069	-0.080457	-0.094502	9.798114	-0.006497	-0.001563	-0.003341									
23088	600094	-0.075355	-0.052702	9.802389	-0.004563	0.000143	-0.003599									
23089	600119	-0.073864	-0.051583	9.791363	-0.000982	0.001563	-0.004043	-0.272651	0.413404	-30.914669						
23090	600144	-0.089771	-0.041685	9.809654	-0.008363	-0.002885	-0.003278									
23091	600169	-0.077020	-0.078119	9.815351	-0.005591	0.000252	-0.005196									
23092	600194	-0.101171	-0.059347	9.836088	-0.009403	-0.000066	-0.001147									
23093	600219	-0.072220	-0.047396	9.824906	-0.009882	0.001346	0.000584	-0.274083	0.413665	-30.905233						
23094	600244	-0.074351	-0.065385	9.822999	-0.006257	-0.000721	-0.002506									
23095	600269	-0.069529	-0.054471	9.797091	-0.003125	-0.002657	0.001374									
23096	600294	-0.085799	-0.061688	9.820181	-0.003757	-0.001056	0.000426									
23097	600319	-0.058819	-0.051525	9.827231	-0.007121	-0.001636	-0.002129	-0.273644	0.413240	-30.887434						
23098	600344	-0.096517	-0.053052	9.836053	-0.004487	0.001688	-0.003843									
23099	600369	-0.075162	-0.075702	9.814380	-0.008175	0.001496	-0.003137									
23100	600394	-0.068550	-0.058189	9.791326	-0.004221	0.001183	-0.003335									
23101	600419	-0.075178	-0.074204	9.813904	-0.001274	0.003102	-0.002053	-0.272922	0.414770	-30.882345						
23102	600444	-0.070499	-0.062850	9.815306	-0.003971	-0.002486	-0.002402									
23103	600469	-0.071068	-0.053724	9.808123	-0.004436	0.000088	-0.003147									
23104	600494	-0.071660	-0.071406	9.783684	-0.006062	0.001150	-0.004098									
23105	600519	-0.087725	-0.056262	9.805816	-0.003901	0.001444	-0.003330	-0.272234	0.415272	-30.885136						
23106	600544	-0.089783	-0.043143	9.811084	-0.009023	0.000262	0.000070									
23107	600569	-0.086100	-0.069071	9.804837	-0.007570	-0.001639	-0.001232									
23108	600594	-0.082471	-0.048474	9.797632	-0.004984	-0.000635	-0.000715									
23109	600619	-0.065776	-0.047206	9.791321	-0.002663	-0.001363	0.000356	-0.272377	0.415274	-30.887598						
23110	600644	-0.090545	-0.033490	9.834587	-0.003575	-0.000733	0.000426									
23111	600669	-0.079223	-0.062745	9.832142	-0.005053	0.001819	-0.000961									
23112	600694	-0.074363	-0.057514	9.806220	-0.005363	0.000767	-0.006914									
